Date,High,Low,Open,Close,Volume,Adj Close
2009-05-11,5.28000020980835,4.199999809265137,5.28000020980835,4.320000171661377,13100.0,4.320000171661377
2009-05-12,5.199999809265137,4.440000057220459,4.800000190734863,4.800000190734863,6800.0,4.800000190734863
2009-05-13,5.679999828338623,4.0,5.679999828338623,5.0,16700.0,5.0
2009-05-14,5.320000171661377,4.639999866485596,4.800000190734863,5.0,20000.0,5.0
2009-05-15,5.199999809265137,4.800000190734863,5.119999885559082,4.800000190734863,14600.0,4.800000190734863
2009-05-18,5.800000190734863,4.800000190734863,4.960000038146973,5.0,4400.0,5.0
2009-05-19,5.519999980926514,4.920000076293945,5.519999980926514,5.199999809265137,2000.0,5.199999809265137
2009-05-20,5.519999980926514,5.199999809265137,5.519999980926514,5.400000095367432,1100.0,5.400000095367432
2009-05-21,5.199999809265137,4.800000190734863,5.199999809265137,5.0,3900.0,5.0
2009-05-22,5.199999809265137,4.920000076293945,5.199999809265137,4.920000076293945,1100.0,4.920000076293945
2009-05-26,5.119999885559082,4.840000152587891,5.119999885559082,4.840000152587891,1100.0,4.840000152587891
2009-05-27,4.880000114440918,4.239999771118164,4.71999979019165,4.400000095367432,7800.0,4.400000095367432
2009-05-28,4.71999979019165,4.320000171661377,4.519999980926514,4.599999904632568,22400.0,4.599999904632568
2009-05-29,4.800000190734863,4.400000095367432,4.800000190734863,4.599999904632568,1800.0,4.599999904632568
2009-06-01,4.800000190734863,4.519999980926514,4.800000190734863,4.800000190734863,1100.0,4.800000190734863
2009-06-02,4.800000190734863,4.599999904632568,4.639999866485596,4.639999866485596,1500.0,4.639999866485596
2009-06-03,4.800000190734863,4.599999904632568,4.679999828338623,4.800000190734863,1800.0,4.800000190734863
2009-06-04,4.800000190734863,4.599999904632568,4.800000190734863,4.800000190734863,1100.0,4.800000190734863
2009-06-05,4.800000190734863,4.239999771118164,4.800000190734863,4.800000190734863,2300.0,4.800000190734863
2009-06-08,4.800000190734863,4.320000171661377,4.679999828338623,4.760000228881836,700.0,4.760000228881836
2009-06-09,4.760000228881836,4.239999771118164,4.239999771118164,4.760000228881836,700.0,4.760000228881836
2009-06-10,4.760000228881836,4.0,4.039999961853027,4.400000095367432,5000.0,4.400000095367432
2009-06-11,4.800000190734863,4.559999942779541,4.559999942779541,4.800000190734863,4600.0,4.800000190734863
2009-06-12,5.0,4.28000020980835,4.360000133514404,5.0,51500.0,5.0
2009-06-15,5.0,4.400000095367432,5.0,4.800000190734863,5000.0,4.800000190734863
2009-06-16,5.0,4.599999904632568,5.0,4.800000190734863,1300.0,4.800000190734863
2009-06-17,5.0,4.920000076293945,4.920000076293945,4.960000038146973,900.0,4.960000038146973
2009-06-18,5.0,4.800000190734863,5.0,4.800000190734863,200.0,4.800000190734863
2009-06-19,4.920000076293945,4.920000076293945,4.920000076293945,4.920000076293945,100.0,4.920000076293945
2009-06-22,4.880000114440918,4.199999809265137,4.800000190734863,4.599999904632568,1800.0,4.599999904632568
